material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-11107,Ac2O3,True,8.025188417993545e-07,4.095488002164615,4.095488002164615,6.29988201,91.51122380826277,3.522599999999999,-3.737668289999997
mp-1968,La2O3,True,0.002397544859779512,3.930777877969835,3.930777877969835,6.11195352,81.7838744358029,3.824799999999999,-3.8759289195
mp-2063,Pr2O3,True,0.0033592581233865717,3.8893572565517,3.8893572565517,6.05917112,79.37788509634348,3.745199999999999,-3.728230869166667
mp-2763,Nd2O3,True,0.004115980376704216,3.847162325908735,3.847162325908735,6.02041543,77.1681545182218,3.8089,-3.775887380999997
mp-20470,Gd2O3,True,0.004362764361689462,3.7285259174390344,3.7285259174390344,5.89412876,70.96179347214091,2.969999999999999,-3.864237869500002
mp-547622,Pm2O3,True,0.004615038505423656,3.8050592281473303,3.8050592281473303,5.97084222,74.86676527364655,3.8673,-3.8237697285000003
mp-10733,Sm2O3,True,0.005011390876983361,3.77872253564146,3.77872253564146,5.94231147,73.48116800534032,3.9371,-3.844915249500001
mp-21423,Pu2O3,True,0.005440150062766465,3.7612674470934664,3.7612674470934664,5.972689,73.1760501522371,0.0,-3.214050472499994
mp-13063,Tb2O3,True,0.006315826656414527,3.6818531587176575,3.6818531587176575,5.83317276,68.48073269206665,4.1338,-3.942971762416667
mp-13061,Y2O3,True,0.006706702693831893,3.6556938903568246,3.6556938903568246,5.84110698,67.60291734801356,4.083600000000001,-3.8966378764999963
mp-13064,Dy2O3,True,0.006791917873300695,3.6556550212743204,3.6556550212743204,5.81077127,67.2503924128925,4.1997,-3.9594392734166672
mp-1940,Th2N3,True,0.0070215508636544246,3.913462212719634,3.913462212719634,6.15322,81.61225242748769,0.0,-1.639255768333328
mp-13065,Ho2O3,True,0.007328147699701753,3.628674352510765,3.628674352510765,5.79562279,66.08862761614566,4.2423,-3.973794766499998
