material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-22217,CePd5,True,6.816587666761964e-07,5.333330317499789,5.333330317499789,4.5262,111.49652620960788,0.0,-0.516005744166662
mp-1025030,ErPt5,True,6.825046568648444e-07,5.281949782595341,5.281949782595341,4.44985332,107.51396119634452,0.0,-0.73209813555556
mp-30753,LaPd5,True,6.828135233132508e-07,5.341155570885045,5.341155570885045,4.48770342,110.87285608631186,0.0,-0.5971245724999981
mp-510098,EuAu5,True,6.835028324794547e-07,5.591561790763714,5.591561790763714,4.67011622,126.45167232066551,0.0,-0.42999690250000605
mp-11826,CaPd5,True,6.836673211048204e-07,5.304889514078509,5.304889514078509,4.42437395,107.82889251590049,0.0,-0.366331009999998
mp-570673,ScNi5,True,6.83769297338962e-07,4.699056277474616,4.699056277474616,3.91563614,74.87800288499251,0.0,-0.283420650833331
mp-30620,DyRh5,True,6.838769850585556e-07,5.1727665228020925,5.1727665228020925,4.3063494,99.78968431543474,0.0,-0.294621025277776
mp-11562,TbRh5,True,6.840457337757907e-07,5.180247976603548,5.180247976603548,4.30627574,100.0768360057453,0.0,-0.29776225444444504
mp-1805,ErRh5,True,6.842445254761383e-07,5.226866113372619,5.226866113372619,4.33755,102.62611231020594,0.0,-0.29151228833333204
mp-11565,YRh5,True,6.849973653507024e-07,5.253195919001164,5.253195919001164,4.331052,103.50735863879747,0.0,-0.285145789999999
mp-764,CeCo5,True,6.850101754470624e-07,4.879734855327692,4.879734855327692,4.02270156,82.95468057227991,0.0,-0.08812799
mp-542568,EuAg5,True,6.851403232224471e-07,5.633948908259978,5.633948908259978,4.63921701,127.52670196155597,0.0,-0.173007971666668
mp-30507,CeIr5,True,6.851945023356899e-07,5.274166563560572,5.274166563560572,4.34091943,104.57311361487675,0.0,-0.365940813333336
mp-571283,GdRh5,True,6.852000584008723e-07,5.264903734785654,5.264903734785654,4.333087,104.01809845978562,0.0,-0.303516111388892
mp-7751,PuPt5,True,6.852131758438561e-07,5.359593885681384,5.359593885681384,4.410516888772809,109.71951699875555,0.0,-0.44096217479166205
mp-542777,CePt5,True,6.852340781864391e-07,5.368539330100849,5.368539330100849,4.41707814,110.24984615183966,0.0,-0.7909169800000011
mp-312,ThIr5,True,6.854438301375349e-07,5.304912416906407,5.304912416906407,4.35680152,106.18296386719138,0.0,-0.47705074166666805
mp-30481,CaPt5,True,6.85550135034511e-07,5.355657329549133,5.355657329549133,4.39442717,109.15872805275094,0.0,-0.600580696666668
mp-2645,YbNi5,True,6.858065900544978e-07,4.778504634081861,4.778504634081861,3.912157779019854,77.36259276778591,0.0,-0.327261972499999
mp-2359,NdPt5,True,6.859528293175301e-07,5.387256434815897,5.387256434815897,4.40495674,110.7152835139676,0.0,-0.6934569879166661
mp-11491,LuNi5,True,6.859923985939845e-07,4.775141807220454,4.775141807220454,3.90311511,77.07517828556959,0.0,-0.322797154444441
mp-1607,YbCu5,True,6.860317125091768e-07,4.931643560871627,4.931643560871627,4.029663795387712,84.87558978806425,0.0,-0.20909298916666802
mp-1910,CeNi5,True,6.860788055496137e-07,4.841253420938829,4.841253420938829,3.95419173,80.26089326538036,0.0,-0.34413840833333004
mp-1831,SrAu5,True,6.861552597515464e-07,5.6618475986812165,5.6618475986812165,4.62136593,128.29724786799062,0.0,-0.484339630000003
mp-11526,TmNi5,True,6.862952796562748e-07,4.79307388585586,4.79307388585586,3.9075034200000003,77.74245411602357,0.0,-0.338314189999998
mp-1037,PrPt5,True,6.864172232417844e-07,5.4038860871460095,5.4038860871460095,4.40080896,111.2949654692121,0.0,-0.6931851386111051
mp-1225307,DyCu5,True,6.864827239807695e-07,4.972356856287213,4.972356856287213,4.04708309,86.65573928588626,0.0,-0.203688029166668
mp-853,ErNi5,True,6.865090817629819e-07,4.803375279526068,4.803375279526068,3.90865337,78.09996274759276,0.0,-0.336448439999999
mp-30585,HoCu5,True,6.86547272507221e-07,4.965170854711582,4.965170854711582,4.03897452,86.23233378956428,0.0,-0.204240175833331
mp-11363,TbCu5,True,6.866497257764091e-07,4.985646226553335,4.985646226553335,4.0520315,87.22608119955922,0.0,-0.20235930666666702
mp-1553,HoNi5,True,6.868416773899273e-07,4.816855128016352,4.816855128016352,3.90834211,78.53267177547454,0.0,-0.33053895249999804
mp-1179,DyNi5,True,6.870060234854291e-07,4.826320561675494,4.826320561675494,3.91044943,78.88412887435396,0.0,-0.327578571944444
mp-1832,LaPt5,True,6.871389675896623e-07,5.428545537090406,5.428545537090406,4.39332866,112.12211869593239,0.0,-0.849367524166666
mp-30808,TbNi5,True,6.872579488836524e-07,4.837043152620716,4.837043152620716,3.91059117,79.23790248226774,0.0,-0.32419588444444203
mp-569264,NdIr5,True,6.873759008536386e-07,5.359867632401975,5.359867632401975,4.328851,107.69893238656506,0.0,-0.32368150180555705
mp-1260,SrPd5,True,6.873771474279879e-07,5.427307114435475,5.427307114435475,4.38327057,111.81439198119119,0.0,-0.37346798833333406
mp-227,SmCu5,True,6.874044727032062e-07,5.030685406990678,5.030685406990678,4.06198402,89.02729162430869,0.0,-0.18046810166666602
mp-1206486,SrIn5,True,6.874653560194996e-07,6.408541491981053,6.408541491981053,5.171793,183.94592307116153,0.0,-0.13414555222222002
mp-2740,ErCo5,True,6.874783638933259e-07,4.894321919329274,4.894321919329274,3.949348999999999,81.92967041863893,0.0,-0.103211511666666
mp-636253,GdCu5,True,6.875093767509665e-07,5.015705366723045,5.015705366723045,4.04620881,88.15418961944873,0.0,-0.165827425000001
mp-809,ThCo5,True,6.875163507587076e-07,4.949016867041039,4.949016867041039,3.992169419999999,84.67933977013192,0.0,-0.045426178333334004
mp-2152,YNi5,True,6.875249973563236e-07,4.84287462004907,4.84287462004907,3.90625613,79.341023559074,0.0,-0.311606001666666
mp-1567,ThNi5,True,6.875273747820521e-07,4.900281695073559,4.900281695073559,3.95247917,82.19441603350883,0.0,-0.40837344166666606
mp-2410,SrAg5,True,6.875536182525414e-07,5.710445710868307,5.710445710868307,4.60489563,130.04403525941987,0.0,-0.17491912583333402
mp-2797,YCu5,True,6.87572371680329e-07,5.002701440381511,5.002701440381511,4.03351611,87.42257569256357,0.0,-0.192909463333334
mp-21305,GdNi5,True,6.876955230532318e-07,4.86184628625227,4.86184628625227,3.91576835,80.15859037708837,0.0,-0.31015598833333
mp-1525815,AcMg5,True,6.877307660787208e-07,6.170180370311531,6.170180370311531,4.96799329,163.7975312572725,0.0,-0.035826379583333005
mp-21315,PuNi5,True,6.877866653570536e-07,4.853644395271152,4.853644395271152,3.906076419999999,79.690632928973,0.0,-0.128845209791663
mp-2827,YCo5,True,6.879270274784176e-07,4.927555707902441,4.927555707902441,3.960738,83.28558344400808,0.0,-0.07648426833333301
mp-761,CeCu5,True,6.879466087422029e-07,5.062628174738114,5.062628174738114,4.068618,90.3087043065683,0.0,-0.10422689500000101
mp-1384,LaIr5,True,6.879817910864859e-07,5.39074009301246,5.39074009301246,4.330987,108.99693825696767,0.0,-0.304425874166666
mp-1140,NdCu5,True,6.880574416169787e-07,5.067205452979442,5.067205452979442,4.06838753,90.46695503755969,0.0,-0.16185717291666601
mp-2551,DyCo5,True,6.881055632039298e-07,4.919766287228176,4.919766287228176,3.948363999999999,82.76310193269103,0.0,-0.089085241944444
mp-1075,SmNi5,True,6.881095164044432e-07,4.883849295271007,4.883849295271007,3.91940452,80.96088167793201,0.0,-0.298547072499999
mp-569927,ErZn5,True,6.88180264056951e-07,5.202505371577024,5.202505371577024,4.17257486,97.80472659036953,0.0,-0.314687268055555
mp-2689,ThFe5,True,6.883025115682858e-07,5.087561237066331,5.087561237066331,4.076066040000006,91.36737398023503,0.0,-0.054154229999998006
mp-1200,TbCo5,True,6.884020340168126e-07,4.931247982523086,4.931247982523086,3.947425,83.13008120258205,0.0,-0.08300625277777801
mp-1824,NdNi5,True,6.884845985975674e-07,4.910608968953575,4.910608968953575,3.928092399999999,82.03194939680712,0.0,-0.275781184583332
mp-570832,SrPt5,True,6.885060147328385e-07,5.453203710983601,5.453203710983601,4.36131516,112.3185649261178,0.0,-0.6072094099999951
mp-2462,PrCu5,True,6.885120638438975e-07,5.090523924340454,5.090523924340454,4.07104093,91.36104663428486,0.0,-0.14531633361111002
mp-774,CaNi5,True,6.886175086385914e-07,4.874935328541703,4.874935328541703,3.89506798,80.16474044956486,0.0,-0.11096844999999801
mp-30627,DyZn5,True,6.886661470569529e-07,5.228748247115186,5.228748247115186,4.17600377,98.87510956472768,0.0,-0.33201823166666605
mp-11317,CeFe5,True,6.887140017447775e-07,5.072085778061878,5.072085778061878,4.04920399,90.21390188050768,0.0,-0.007688359999998001
mp-1429,SmCo5,True,6.888078390818704e-07,4.967980482595695,4.967980482595695,3.96287,84.70327832217713,0.0,-0.0452820975
mp-2435,HoCo5,True,6.888450415881206e-07,4.90548187140989,4.90548187140989,3.91175478,81.52026894462401,0.0,-0.094829354166664
mp-2317,LaNi5,True,6.889182784416133e-07,4.946427617566541,4.946427617566541,3.94190367,83.5256675642372,0.0,-0.28170988749999804
mp-2370,PrNi5,True,6.889265194380836e-07,4.931975990160959,4.931975990160959,3.930106239999999,82.78979927163114,0.0,-0.25854633194444504
mp-1882,CaCu5,True,6.890212293804281e-07,5.045628192250579,5.045628192250579,4.01737319,88.57339631418444,0.0,-0.11010331000000001
mp-30885,YZn5,True,6.891322759609189e-07,5.245611140261175,5.245611140261175,4.17258454,99.43240919460499,0.0,-0.332843220833332
mp-2613,LaCu5,True,6.892970373517861e-07,5.128458736699822,5.128458736699822,4.07357675,92.78553282535592,0.0,-0.141133305833333
mp-567406,SmZn5,True,6.894471716680955e-07,5.29025351364626,5.29025351364626,4.19662876,101.71480079797625,0.0,-0.302269682499999
mp-394,CeZn5,True,6.895125785307251e-07,5.331996142233095,5.331996142233095,4.22734568,104.08257959839217,0.0,-0.26003228499999703
mp-1734,CaZn5,True,6.898721343697841e-07,5.307016599228598,5.307016599228598,4.19445313,102.30735800603374,0.0,-0.227941309999998
mp-22311,EuNi5,True,6.900713445104601e-07,4.9373099258814825,4.9373099258814825,3.89552188,82.23885576188542,0.0,-0.110666337499999
mp-1731,LaCo5,True,6.901438570043707e-07,5.022678111271614,5.022678111271614,3.960388,86.52449244742137,0.0,0.01268050036995
mp-1298,KAu5,True,6.901513738555234e-07,5.733993612093631,5.733993612093631,4.5209667,128.72898633268468,0.0,-0.25602832062499603
mp-2066,EuCu5,True,6.903030541846411e-07,5.106918775954622,5.106918775954622,4.02126109,90.82612889397359,0.0,-0.10764859416666801
mp-30801,NdZn5,True,6.903546110792505e-07,5.338484325316457,5.338484325316457,4.20172168,103.70360577265866,0.0,-0.305460852916667
mp-12602,PrZn5,True,6.90465845737439e-07,5.356634457791671,5.356634457791671,4.21194546,104.66401532765983,0.0,-0.302519455277776
mp-569,NdCo5,True,6.905691162325286e-07,5.01739202912235,5.01739202912235,3.941669,85.93436151528566,0.0,0.00035995354166800005
mp-2436,EuZn5,True,6.906661107314728e-07,5.376662138230264,5.376662138230264,4.220363600004621,105.65887789388145,0.0,-0.25087550083333204
mp-2424,LaZn5,True,6.907676195915728e-07,5.404498880958049,5.404498880958049,4.23848422,107.21413962777979,0.0,-0.340760943333333
mp-2837,PrCo5,True,6.911510182095893e-07,5.040697774484645,5.040697774484645,3.940062,86.69918319028848,0.0,0.022624767300295
mp-11277,ScBe5,True,6.916628698081846e-07,4.5365604916776885,4.5365604916776885,3.53031121,62.92120568896384,0.0,-0.19542567333333302
mp-2606,BaPd5,True,6.922634662225564e-07,5.586982171811451,5.586982171811451,4.32517331,116.91997588017672,0.0,-0.33909857666666304
mp-1814,BaAg5,True,6.92289559613768e-07,5.8903878735327675,5.8903878735327675,4.559024570006388,136.99046859468078,0.0,-0.155002803055553
mp-1209,RbAu5,True,6.923494423784931e-07,5.818215558236435,5.818215558236435,4.50082893,131.94798204292206,0.0,-0.18988399791667002
mp-30364,BaAu5,True,6.924673537234226e-07,5.855377648280997,5.855377648280997,4.52495127,134.35516276016705,0.0,-0.44300406166667206
mp-1077071,GdCo5,True,6.925086343754745e-07,4.99302739787761,4.99302739787761,3.85715957,83.27720407851554,0.0,-0.051938176666666
mp-811,BaPt5,True,6.925279252635969e-07,5.591984552111309,5.591984552111309,4.31913748,116.96598587900758,0.0,-0.473208788333333
mp-2812,HoFe5,True,6.933216087668208e-07,5.112429634776134,5.112429634776134,3.92167646,88.76813187720096,0.0,-0.051345850833334004
mp-568006,DyFe5,True,6.935913278712294e-07,5.12507865830751,5.12507865830751,3.92220233,89.21989246596834,0.0,-0.043887316944443006
mp-638,SrZn5,True,6.935936081721157e-07,5.48629287301713,5.48629287301713,4.19855517,109.44312150347346,0.0,-0.22022309249999902
mp-11385,YFe5,True,6.941282628800515e-07,5.141866808863082,5.141866808863082,3.9167853900000003,89.68133271230167,0.0,-0.035446869999998
mp-2025,HfBe5,True,6.942267476803885e-07,4.5194023444210405,4.5194023444210405,3.43969043,60.84319377449031,0.0,-0.2293877075
mp-2726,SrCu5,True,6.944584150028057e-07,5.229162089454109,5.229162089454109,3.9719034300000002,94.05751931832742,0.0,-0.035421975
mp-11283,ZrBe5,True,6.946558338544978e-07,4.567005423258468,4.567005423258468,3.46302165,62.55310802704777,0.0,-0.241093112499999
mp-1181137,GdFe5,True,6.946768580073213e-07,5.166590607219235,5.166590607219235,3.916955289999999,90.54976888466211,0.0,0.00975087
mp-1566,SmFe5,True,6.951824209658616e-07,5.195528626245704,5.195528626245704,3.92167717,91.67732984236787,0.0,0.006497710833333
mp-11382,NdFe5,True,6.963268871333454e-07,5.242160827790009,5.242160827790009,3.91783096,93.23887122756031,0.0,0.039665015416665006
mp-1025137,NpNi5,True,0.0005444853769893888,4.856634163298712,8.384130008696538,3.92352802,159.76077296015194,0.0,-0.24091817145833203
