material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-21888,Tm3SnC,True,0.0,5.523951,5.523951,5.523951,168.5580322211173,0.0,1.511119863999995
mp-19847,Tm3InN,True,0.0,4.70132412,4.70132412,4.70132412,103.91077415616378,0.0,-1.224040253750001
mp-21292,Tm3InC,True,0.0,5.506619,5.506619,5.506619,166.97639742414253,0.0,1.46514898803
mp-10351,Tm3GaC,True,0.0,5.225463,5.225463,5.225463,142.68368955345835,0.0,1.044850077999981
mp-1018641,Tm3AlN,True,0.0,4.6573477400000005,4.6573477400000005,4.6573477400000005,101.02200807164859,0.0,-1.124935117750001
mp-574239,Tm3AlC,True,0.0,5.301577,5.301577,5.301577,149.00993333609298,0.0,1.332148068499981
mp-20978,Ho3TlC,True,0.0,5.579004999999999,5.579004999999999,5.579004999999999,173.6481864180333,0.0,1.634102379333335
mp-1183168,AcVO3,True,0.0,3.967895373333333,3.967895373333333,3.967895373333333,62.47131331417571,0.0,-3.141069095500003
mp-865927,AcTiO3,True,0.0,3.995820010000001,3.995820010000001,3.995820010000001,63.79957007476274,0.0,-3.60763573816667
mp-1183150,AcSiO3,True,0.0,3.970175,3.970175,3.970175,62.5790478372491,0.0,-2.8682463835
mp-1183152,AcScO3,True,0.0,4.125045999999999,4.125045999999999,4.125045999999999,70.19180130743555,3.3847,-3.8290604304999993
mp-1183145,AcPdO3,True,0.0,4.0552069133333335,4.0552069133333335,4.0552069133333335,66.68667373916907,0.0,-2.236955405499998
mp-1183139,AcNiO3,True,0.0,3.8788293533333333,3.8788293533333333,3.8788293533333333,58.35821780047424,0.0,-2.455476575499998
mp-864911,AcMnO3,True,0.0,3.963021679999999,3.963021679999999,3.963021679999999,62.24139882978782,0.0,-2.973630023086206
mp-1183142,AcMgO3,True,0.0,4.016262,4.016262,4.016262,64.78375373225691,0.0,-3.0018453265
mp-554973,TlCuF3,True,0.0,4.090516689999999,4.090516689999999,4.07632852,68.20646090480044,0.0,-1.861619619999999
mp-1016819,HfZnO3,True,0.0,4.076656,4.076656,4.076656,67.7504521495989,0.0,-2.441217454999999
mp-998147,TlCuCl3,True,0.0,4.820136566666667,4.820136566666667,4.820136566666667,111.98968658396814,0.0,-1.051494141166669
mp-998160,TlCoF3,True,0.0,4.200322,4.200322,4.200322,74.10504154645177,0.0,-1.993014821666668
mp-1207995,TlCdN3,True,0.0,4.47241,4.47241,4.47241,89.45916280761851,0.0,1.8919076743333392
mp-1187494,TlBO3,True,0.0,3.53491,3.53491,3.53491,44.17078148014977,0.0,-0.8391615275000011
mp-1187621,TlWO3,True,0.0,4.077202,4.077202,4.077202,67.77767792105595,0.0,-1.642345367666667
mp-1187623,TlTcO3,True,0.0,3.990746,3.990746,3.990746,63.556834845711684,0.0,-1.501989770666668
mp-1187529,TlSiO3,True,0.0,3.7048019999999995,3.7048019999999995,3.7048019999999995,50.85047420789467,0.0,-1.860338147666668
mp-7114,Ho3SnC,True,0.0,5.57875,5.57875,5.57875,173.6243766542969,0.0,1.481500367000003
mp-998761,TlNiF3,True,0.0,4.087357523333332,4.087357523333332,4.087357523333332,68.28540381728496,3.4347,-2.109648550000003
mp-546200,TlIO3,True,0.0,4.249667,4.249667,4.249667,76.7475819762978,0.0,-0.7248944806666681
mp-1187530,TlHgO3,True,0.0,4.26104,4.26104,4.26104,77.36541033597288,0.0,-0.19954186216666903
mp-985292,AgBO3,True,0.0,3.4832869999999994,3.4832869999999994,3.4832869999999994,42.2637254875263,0.0,-0.546613989166666
mp-558189,Ag3SI,True,0.0,5.009586,5.009586,5.009586,125.72032925181091,0.6242999999999991,-0.21088855749999802
mp-22556,Tm3TlC,True,0.0,5.5323850000000006,5.5323850000000006,5.5323850000000006,169.3312777207192,0.0,1.48487064841334
mp-31057,Ho3InN,True,0.0,4.76233324,4.76233324,4.76233324,108.00885060902125,0.0,-1.067085231333329
mp-1206985,TiFe3N,True,0.0,3.738023,3.738023,3.738023,52.23070739036822,0.0,-0.33961129966666503
mp-1187469,TiCuO3,True,0.0,3.8507730000000002,3.8507730000000002,3.8507730000000002,57.10100527942185,0.0,-1.936134507666667
mp-1016927,TiZnO3,True,0.0,3.843088,3.843088,3.843088,56.759817119617246,0.0,-2.284075239666666
mp-1187488,TiTeO3,True,0.0,3.96247,3.96247,3.96247,62.21540914976123,0.0,-1.954392125
mp-1018639,TiSnO3,True,0.0,3.9507309999999993,3.9507309999999993,3.9507309999999993,61.664097615068435,1.0452,-2.5965887846666673
mp-1016840,HgOsO3,True,0.0,3.954635,3.954635,3.954635,61.847082438291004,0.0,-0.8511533195000011
mp-23080,AlBiO3,True,0.0,3.787194,3.787194,3.787194,54.31911150734789,1.585999999999999,-2.432236615
mp-1413511,AlBiO3,True,0.0,4.274583999999999,4.274583999999999,4.274583999999999,78.10549111437115,0.0,-0.8888229550000001
mp-1183159,AlAuO3,True,0.0,3.7613299999999996,3.7613299999999996,3.7613299999999996,53.21380497954462,0.0,-1.400460893
mp-1418444,AlAgO3,True,0.0,4.003726999999999,4.003726999999999,4.003726999999999,64.17906273811795,0.0,-0.250836723333333
mp-1183169,AlAgO3,True,0.0,3.7510279999999994,3.7510279999999994,3.7510279999999994,52.777755639906346,0.0,-1.615019715333333
mp-1068746,TlHPd3,True,0.0,4.09795544,4.09795544,4.09795544,68.81794424742806,0.0,-0.27469800174999903
mp-1187533,TlGeO3,True,0.0,3.8627349999999994,3.8627349999999994,3.8627349999999994,57.63479385946388,0.0,-1.3662863706666681
mp-1187481,TlGaO3,True,0.0,3.908875,3.908875,3.908875,59.724888506857425,0.0,-1.254612097166667
mp-998159,TlFeF3,True,0.0,4.254436,4.254436,4.254436,77.00625173301604,3.4393000000000002,-2.067485199666668
mp-1187483,TlCuO3,True,0.0,3.8428969999999993,3.8428969999999993,3.8428969999999993,56.75135471676904,0.0,-0.656654345666667
mp-22345,TiCdO3,True,0.0,4.095279999999999,4.095279999999999,4.095279999999999,68.6832443191659,0.0,-0.663174753666666
mp-1016846,TiCdO3,True,0.0,3.8869780000000005,3.8869780000000005,3.8869780000000005,58.72678792988994,0.0,-2.4732249276666662
mp-1187465,TiBeO3,True,0.0,3.3889020000000003,3.3889020000000003,3.3889020000000003,38.92037628226894,0.0,-2.312304958666666
mp-1475723,TiAlO3,True,0.0,3.8608039999999995,3.8608039999999995,3.8608039999999995,57.54840132121698,0.0,-2.369078753666666
mp-9964,Ti3TlN,True,0.0,4.214039,4.214039,4.214039,74.83343002536053,0.0,-0.845159385416667
mp-4563,Ti3TlC,True,0.0,4.244205523333332,4.244205523333332,4.244205523333332,76.45206469455779,0.0,-0.515003204000001
mp-644483,Ti3SnH,True,0.0,4.165935043333334,4.165935043333334,4.165935043333334,72.29986427153574,0.0,-0.433976837749997
mp-1206767,AlFe3N,True,0.0,3.7178609999999996,3.7178609999999996,3.7178609999999996,51.390098037995735,0.0,-0.310164052999998
mp-1206123,AlFe3H,True,0.0,3.6995535300000006,3.6995535300000006,3.6995535300000006,50.634665689634645,0.0,-0.20500472224999902
mp-22793,AlFe3C,True,0.0,3.78977536,3.78977536,3.78977536,54.43025931948246,0.0,-0.159749470999999
mp-1206715,AlFe3B,True,0.0,3.8223219999999998,3.8223219999999998,3.8223219999999998,55.84468045961812,0.0,-0.146577185833332
mp-1504314,AlCuO3,True,0.0,3.6991479999999997,3.6991479999999997,3.6991479999999997,50.618016416915914,0.0,-0.848998753
mp-1435808,AlCoO3,True,0.0,3.6944819999999994,3.6944819999999994,3.6944819999999994,50.42671354838252,0.0,-1.043343859
mp-10037,AlCo3C,True,0.0,3.722911,3.722911,3.722911,51.59979334082594,0.0,-0.20122812149999703
mp-19845,TiPbO3,True,0.0,3.969049,3.969049,3.969049,62.52581792285582,1.585,-2.689368039666666
mp-1016842,TiHgO3,True,0.0,3.921312,3.921312,3.921312,60.29679039566384,0.0,-2.118964534166668
mp-1187487,ThCuO3,True,0.0,3.868279,3.868279,3.868279,57.88331164717667,0.0,-2.467409856999999
mp-21233,Ti3InN,True,0.0,4.187884219999999,4.187884219999999,4.187884219999999,73.44868072467396,0.0,-0.930242820333333
mp-20325,Ti3InC,True,0.0,4.23556108,4.23556108,4.23556108,75.98587116297644,0.0,-0.542402516333332
mp-10675,Ti3AlN,True,0.0,4.1170085866666675,4.1170085866666675,4.1170085866666675,69.78230623789933,0.0,-1.026473475749999
mp-3271,Ti3AlC,True,0.0,4.16993733,4.16993733,4.16993733,72.50844376204412,0.0,-0.591599556999995
mp-1187448,ThWO3,True,0.0,4.135014999999999,4.135014999999999,4.135014999999999,70.70192979791608,0.0,-2.093059474999999
mp-10732,ThTaN3,True,0.0,4.064437,4.064437,4.064437,67.1430690742335,0.0766,-1.507574309216659
mp-1183154,AlPbO3,True,0.0,3.8344800000000006,3.8344800000000006,3.8344800000000006,56.37926771481142,0.0,-2.191318702999999
mp-1416557,AlNiO3,True,0.0,3.659523999999999,3.659523999999999,3.659523999999999,49.00876957089658,0.0,-0.8944861109999991
mp-1183176,AlNiO3,True,0.0,3.6578630000000003,3.6578630000000003,3.6578630000000003,48.942066941764445,0.0,-1.386456107
mp-1207084,AlNi3C,True,0.0,3.7611399999999997,3.7611399999999997,3.7611399999999997,53.20574125296953,0.0,-0.175228431499998
mp-1433892,AlMoO3,True,0.0,4.007720999999999,4.007720999999999,4.007720999999999,64.37132382637043,0.0,-1.403197909
mp-1183133,AlIrO3,True,0.0,3.664087,3.664087,3.664087,49.1923229250551,0.0,-1.200752050999999
mp-1183160,AlInO3,True,0.0,3.714679,3.714679,3.714679,51.258261443683864,0.0,-2.2425046503333332
mp-1421498,AlFeO3,True,0.0,3.8010229999999994,3.8010229999999994,3.8010229999999994,54.916328291501166,0.0,-1.162526192999999
mp-1206753,AlFe3O,True,0.0,4.113634,4.113634,4.113634,69.61085155162793,0.0,0.542747052999999
mp-1187421,ThBeO3,True,0.0,3.659297,3.659297,3.659297,48.99965010566739,2.696799999999999,-3.458890785999999
mp-1206772,ThBRh3,True,0.0,4.256096939999999,4.256096939999999,4.256096939999999,77.09647711452591,0.0,-0.9264942364999961
mp-1187416,ThBO3,True,0.0,3.682134,3.682134,3.682134,49.922780730192386,0.0,-2.389358026833333
mp-1417649,AlWO3,True,0.0,3.94423652,3.94423652,3.94423652,61.36049434821571,0.0,-1.451336168999998
mp-1395974,AlVO3,True,0.0,3.8229829999999994,3.8229829999999994,3.8229829999999994,55.87365738853551,0.0,-1.751975723000001
mp-1183128,AlVO3,True,0.0,3.640495,3.640495,3.640495,48.24822233179429,0.0,-2.271212851
mp-1426094,AlSnO3,True,0.0,4.036562999999999,4.036562999999999,4.036562999999999,65.77111511498308,0.0,-1.353432764
