material_id,formula_pretty,is_fit,rms_A,a_A,b_A,c_A,volume_A3,band_gap,formation_energy_per_atom
mp-1018098,Ba2BrN,True,1.0914631771092886e-06,4.167823203486998,4.167823203486998,23.8157901000002,358.2731004401971,1.1377,-1.41151841
mp-1178141,KDyO2,True,5.574185034723925e-05,3.4515553238560726,3.4515553238560726,18.60828288248693,191.9846954322736,3.9736000000000002,-3.103410802229165
mp-1018031,KInO2,True,0.0003522119082378598,3.3165671287990266,3.3165671287990266,18.337967505429912,174.6865286249256,2.077499999999999,-1.911027195979166
mp-8409,KYO2,True,0.000359752266558738,3.4564958304595095,3.4564958304595095,18.582286919784195,192.26572408824234,3.973899999999999,-3.075378259312499
mp-7015,CsCeS2,True,0.0003861888354901036,4.291256316157876,4.291256316157876,24.171055761201682,385.47406462252866,0.0,-2.109942643906247
mp-22936,Ca2NCl,True,0.0011412706884764185,3.6578330179360052,3.6578330179360052,19.726325322534635,228.57281371857283,2.371,-1.796587630312501
mp-754883,KHoO2,True,0.0013436316573741355,3.4312080020699804,3.4312080020699804,18.571856744692155,189.35642641667494,3.9742,-3.118591663062497
mp-9081,CsNdS2,True,0.0016996516235042848,4.232090845826082,4.232090845826082,24.342717893055173,377.5805903227369,2.1496,-2.08759569578125
mp-9082,CsSmS2,True,0.001982758915315805,4.172887316821706,4.172887316821706,24.31480524379117,366.66946229720185,2.1397,-2.053268447413792
mp-1221681,MnSnTe2,True,0.0021876428087164814,4.066205560871561,4.066205560871561,20.611443043829244,295.1329441179396,0.0,-0.21462919023706903
mp-7959,KErO2,True,0.002275278481955595,3.4083938692741373,3.4083938692741373,18.52192202936645,186.3443520935899,3.9606,-3.138044281812497
mp-561586,CsLaS2,True,0.002299697980288022,4.331961217395682,4.331961217395682,24.301940205455328,394.9487097767838,2.5035,-2.159362920156248
mp-1101163,YbPrO2,True,0.0025666959200721213,3.3764617900757408,3.3764617900757408,17.943652115572977,177.1597876914195,0.0,-3.191404323541665
mp-8176,RbTlO2,True,0.0026737013219294025,3.48784157923181,3.48784157923181,19.203962748926696,202.31821650796965,0.8461999999999991,-1.321913310208335
mp-753774,KTmO2,True,0.003721510994550132,3.3852226442093154,3.3852226442093154,18.526143000000133,183.8612118185135,3.9715,-3.158537831812501
mp-9080,CsPrS2,True,0.0038972711099197377,4.267414018038834,4.267414018038834,24.35570070317922,384.11460393765043,2.161,-2.075983611822913
mp-1101401,RbPrO2,True,0.004280219373428693,3.6801494518350446,3.6801494518350446,19.697806164196663,231.03586486567187,3.3978,-2.867727654791665
mp-1076928,CsEuS2,True,0.004317826158373609,4.261235755560461,4.261235755560461,24.08946611309868,378.8165387782078,0.0,-1.742171750156249
mp-28638,Gd2CCl,True,0.004448088293697924,3.6970680755164187,3.6970680755164187,20.573162346451227,243.52669781913386,0.0,-1.2333587012500011
mp-1018051,KTiS2,True,0.004489712998945766,3.662555900502338,3.662555900502338,21.890610440617365,254.3062465878504,0.0,-1.5784256213958332
mp-7748,NaAlO2,True,0.004562296627841304,2.8998439001285035,2.8998439001285035,16.08848849540273,117.16424991412816,4.7292000000000005,-2.864141727844827
mp-9370,RbLuS2,True,0.004896374374924457,3.9671027315775125,3.9671027315775125,22.88982880448147,311.9751989587966,2.3998,-2.085331389791667
mp-768949,KEuO2,True,0.00512123891211009,3.569034802214393,3.569034802214393,18.431565517149483,203.32670451648264,0.0,-2.5851433405625013
mp-755010,KYbO2,True,0.005497032032634713,3.3697030890791897,3.3697030890791897,18.50249191282942,181.94667642688444,0.0,-3.134193986562499
mp-9084,CsGdS2,True,0.005573920284396848,4.134965697224747,4.134965697224747,24.211601092989294,358.50726740376325,1.8329,-2.082173956406247
mp-9369,RbYbS2,True,0.006028999702087081,3.9868399142503077,3.9868399142503077,22.901415007083603,315.2466960732513,0.0,-2.13238945546875
mp-7972,RbLaO2,True,0.006058608548442859,3.7331845257849654,3.7331845257849654,19.602082796982163,236.5874835570637,3.5220000000000002,-2.960912605625
mp-757021,KGdO2,True,0.006071847526141805,3.5196635108819216,3.5196635108819216,18.590471419372406,199.44507936556928,3.05,-3.0375402743125
mp-23040,Ca2PI,True,0.0064168101752907,4.311202296987753,4.311202296987753,22.26635316520948,358.4070375781162,1.6997,-1.503881859910714
mp-7973,RbNdO2,True,0.00645656253004469,3.643908003784008,3.643908003784008,19.666961709207744,226.1531867949743,3.4259999999999993,-2.901663756249998
mp-9368,RbTmS2,True,0.006839660293103899,4.001717706350544,4.001717706350544,22.919462553765847,317.854203351003,2.368,-2.092722588125001
mp-23056,Sr2BrN,True,0.0069159939458044856,3.938812910281553,3.938812910281553,21.98055454407755,295.3248432689636,1.8455,-1.514354432499999
mp-1178135,KLuO2,True,0.007111525906569715,3.347485996322061,3.347485996322061,18.483156145098498,179.3677258569975,3.940399999999999,-3.180326248479166
