molecule,analogy,edible,bakery,sweet,fruit,fish,garlic,spices,cold,sour,burnt,acid,warm,musky,sweaty,ammonia,decayed,wood,grass,flower,chemical,strength,pleasant,familiar
2-Phenylethyl isothiocyanate,"Analogy: Benzyl isothiocyanate (A) is to 2-Phenylethyl isothiocyanate (B) as a sharp, short-stemmed chili is to a slightly longer-stemmed chili — i.e. the functional group that dominates odor (the isothiocyanate) stays the same, but inserting one extra CH2 between the aromatic ring and the N=C=S reduces volatility and edge a bit, producing a marginally milder, slightly warmer profile while preserving the same spicy/chemical character.

Reasoning steps:
1) Identify close structural analogue: benzyl isothiocyanate (C1=CC=CC=C1–CH2–N=C=S) is in the dataset and is chemically the same isothiocyanate functionality but directly attached via a benzyl (–CH2–) linker. 2-Phenylethyl isothiocyanate (query) has an extra methylene (–CH2–CH2–N=C=S). The isothiocyanate group drives pungent/horseradish/mustard-like, spicy and chemical impressions; the aromatic phenyl ring contributes green/vegetal/woody warmth.

2) Compare data for benzyl isothiocyanate and for other isothiocyanates in the set (e.g., 3-(methylthio)propyl isothiocyanate). Those compounds show very high strength/pungency, relatively low pleasantness, and strong ""chemical/spicy"" attributes. Strengths cluster ~68–73 and pleasantness is low (~22–30) with moderate familiarity.

3) Consider methylene spacer effect: adding a CH2 typically lowers vapor pressure/volatility and softens the immediate sharpness (so slightly lower perceived ""cold/stinging"" and slightly reduced ammonia-like bite), but does not remove the characteristic pungent/isothiocyanate impression. It can also shift perception subtly toward warmer/less biting notes (a small increase in warm/woody nuance relative to benzyl analogue).

4) Translate these structural/olfactory trends into predicted attribute magnitudes: keep high ""strength"" and ""chemical"" and ""spices""; keep low ""sweet/bakery/fruit/flower/musky""; modestly raise garlic/spice/chemical impressions relative to non-sulfur aromatics but slightly lower the extreme bite (ammonia/cold) vs benzyl isothiocyanate.

Predictions are therefore anchored to benzyl isothiocyanate but adjusted for one extra CH2 and comparisons with other isothiocyanates in the dataset.",35.0,5.0,5.0,5.0,20.0,45.0,65.0,16.0,8.0,10.0,10.0,28.0,5.0,12.0,20.0,26.0,12.0,14.0,8.0,68.0,70.0,25.0,46.0
1-Octen-3-yl acetate,"Analogy used: cis-3-hexenol is to cis-3-hexenyl acetate as 1-octen-3-ol is to 1-octen-3-yl acetate. Reasoning steps: (1) In the dataset, acetylation of an unsaturated, green/leafy alcohol (cis-3-hexenol -> cis-3-hexenyl acetate) shifts the scent away from a raw, pungent/green-alcohol character toward a more fruity/ester-like, more pleasant and slightly more familiar odor while often lowering off-notes (e.g. 'fishy', 'ammonia', 'decayed') and keeping comparable intensity. (2) 1-Octen-3-ol (dataset entry 243) has a pronounced mushroom/earthy character and moderate 'fish/decayed' ratings and moderate intensity (strength ~54), but relatively lower pleasantness (~41). (3) Applying the same transformation (acetylation) to 1-octen-3-ol is expected to reduce the free‑OH driven pungency and 'mushroomy' or 'green' sharpness, lower 'fishy' and 'ammonia' notes, and introduce / emphasize mild fruity/ester, sweet and edible cues, increasing pleasantness and familiarity moderately while leaving overall strength in the same ballpark. (4) Therefore predicted descriptor changes: decreased fish/ammonia/decayed, increased fruit/sweet/edible/pleasant, modest changes to green/grass and wood/earthy aspects remain moderate. Predictions are interpolated from nearby esters (hexenyl/other alkyl acetates) and the parent alcohol 1-octen-3-ol.",50.0,25.0,40.0,45.0,12.0,5.0,12.0,30.0,15.0,8.0,18.0,30.0,10.0,8.0,18.0,20.0,18.0,30.0,20.0,22.0,55.0,52.0,48.0
"3-Acetyl-2,5-dimethylthiophene","Analogy and reasoning steps:
A (3-acetyl-2,5-dimethylfuran) is to B (the measured ratings for that furan, entry 40) as C (2-acetylthiophene) is to D (the unknown ratings for 3-acetyl-2,5-dimethylthiophene). Rationale: the target molecule is the thiophene (sulfur) analogue of the known furan (oxygen) 3-acetyl-2,5-dimethylfuran. The most direct comparisons are therefore the furan analog (same substitution pattern, different heteroatom) and a simple acetylthiophene (2-acetylthiophene, entry 439) which captures the influence of sulfur on an acetylated heterocycle. I treat the target as primarily like the furan analog (weight ~0.6) but shifted toward thiophene-like character (weight ~0.4) because changing O→S commonly shifts aroma toward more savory/roasty/sulfurous notes and alters intensity/pleasantness.

Steps used to arrive at numeric predictions:
1) Take the ratings for 3-acetyl-2,5-dimethylfuran (entry 40) and for 2-acetylthiophene (entry 439). These provide direct empirical anchors for the O- and S-variants.
2) Compute a weighted average (0.6×furan + 0.4×thiophene) for descriptors available in both entries (fish, cold, ammonia, decayed, strength, pleasant, familiar) to capture the mixed similarity.
   - fish = 0.6*23.3333 + 0.4*41.0 ≈ 30.40
   - cold = 0.6*24.1429 + 0.4*19.25 ≈ 22.19
   - ammonia = 0.6*40.4286 + 0.4*23.7143 ≈ 33.74
   - decayed = 0.6*27.25 + 0.4*15.0 = 22.35
   - strength = 0.6*50.0 + 0.4*36.6528 ≈ 44.66
   - pleasant = 0.6*36.97297 + 0.4*48.48611 ≈ 41.58
   - familiar = 0.6*43.47297 + 0.4*43.36111 ≈ 43.43
3) For descriptors not shared in those two anchor entries (edible, bakery, sweet, fruit, garlic, spices, sour, burnt, acid, warm, musky, sweaty, wood, grass, flower, chemical), use structure–odor heuristics together with the above anchors:
   - acetyl on a small heterocycle gives buttery/bakery / caramel-like facets (so bakery/sweet/edible moderate).
   - sulfur (thiophene) biases toward savory, roasted, slight meaty or chemical notes and can raise 'fish/garlic' tendencies relative to the furan, while often slightly reducing pure floral/fruity character.
   - methyl substituents on the ring typically boost warmth/roundedness and can enhance perceived sweetness/pleasantness modestly.
   - combine these qualitative adjustments with the quantitative anchors above to assign plausible 0–100 ratings.
4) Final values are therefore the weighted empirical values where available and chemically-reasoned estimates for the remaining descriptors. Uncertainty: moderate — the predictions assume typical O→S trends and no unforeseen strong matrix interactions.

Numeric summary (calculations shown where used):
- For shared anchors I used the explicit weighted-average arithmetic shown above. For other descriptors I assigned values consistent with an acetylated, methyl-substituted thiophene (moderate bakery/sweet notes, low fruit/flower, modest sulfurous/fishy character).",45.0,48.0,42.0,12.0,30.4,18.0,30.0,22.19,15.0,24.0,18.0,42.0,18.0,14.0,33.74,22.35,20.0,18.0,18.0,26.0,44.66,41.58,43.43
Androstadienone,"Musk ketone is to a classic synthetic musk (strong, predominantly musky/animalic, low fruit/edible, moderate pleasantness) as Androstadienone is to a steroidal human-derived musk (strongly musky/animalic but more sweaty/fermented/amberic, very low fruity/sweet/bakery). Reasoning steps: (1) Identify a close functional analogue: musk ketone (a prototypical musk) represents the musky/animalic axis in the dataset. (2) Note molecular class difference: musk ketone is a nitro-aromatic musk while androstadienone is a C19 steroidal ketone — both give low volatility, persistent musky notes but steroids carry more “body/animalic/sweaty” character and fewer sweet/fruit cues. (3) Map perceptual dimensions: from musk ketone’s high musky and moderate strength/pleasantness, shift toward slightly higher sweaty/animalic and 'warm' qualities for the steroid, while lowering edible/bakery/fruit/sweet ratings. (4) Adjust other axes (chemical, decayed, ammonia) modestly upward compared to floral/green axes because steroidal human-derived compounds are often perceived as ‘chemical/animalic’ rather than fresh/green or fruity. (5) Produce numeric predictions consistent with musky-dominated, warm, moderately intense, moderately pleasant but relatively unfamiliar human-steroid odor.",3.0,2.0,8.0,2.0,2.0,1.0,8.0,10.0,5.0,5.0,4.0,55.0,78.0,56.0,18.0,22.0,20.0,3.0,12.0,45.0,68.0,52.0,28.0
Piperonyl isobutyrate,"Analogy and reasoning:
A is to B as C is to D.

A = piperonal (3,4-methylenedioxybenzaldehyde). B = piperonal's measured scent profile (notably high pleasant/familiar, floral/vanilla/balsamic character, moderate strength). Piperonal's methylenedioxy aromatic ring gives a warm, balsamic-vanillic, sweet-floral impression.

C = a benzyl/isobutyrate-type ester (i.e. a benzyl alcohol esterified with isobutyric acid). Typical benzyl esters (benzyl acetate/benzyl propionate/other benzyl esters) in the dataset show fruity/floral, sweet, bakery-like / soft ester characters with moderate pleasantness and moderate strength; esters tend to soften and sweeten aromatic notes and reduce harsh aldehydic/top-note intensity.

D = piperonyl isobutyrate (the benzyl isobutyrate where the benzyl ring carries the 3,4-methylenedioxy substitution). By the analogy: piperonal (A) -> sweet/vanilla-floral (B); a benzyl isobutyrate (C) -> sweet/fruity/esteric, so piperonyl isobutyrate (D) will combine the methylenedioxy aromatic (vanilla/heliotrope/balsamic/floral) with the soft, sweet, fruity/esteric, slightly bakery-like lift of an isobutyrate ester.

Reasoning steps used to derive numeric predictions:
1) Structural motifs: the 3,4-methylenedioxyphenyl (piperonyl) contributes warm, sweet, balsamic, vanillin/heliotrope-like and floral impressions (seen in piperonal and related methylenedioxy aromatics in the dataset). 2) The benzyl–O–C(=O)–isobutyrate ester moiety attenuates sharp aldehydic notes, increases fruity/sweet/soft-gourmand facets and gives a slightly creamy/bakery character (estery). 3) Volatility/strength: esters of benzyl alcohol are moderate in odor strength and are familiar/pleasant to many; piperonyl substitution tends to be perceived as highly pleasant/familiar in the dataset. 4) Negative attributes (fish, garlic, sweaty, ammonia, decayed) are not expected because neither methylenedioxy aromatics nor benzyl esters carry typical thiol/amine/fishy signatures. 5) Some woody/resinous/vanilla warmth and floral character are anticipated; a modest spice lift may occur but not dominating.

Combining these effects leads to a profile dominated by sweet, floral/vanilla notes with estery-fruity and mild bakery/creaminess, moderate warmth and moderate strength, high pleasantness and moderate-to-high familiarity. Predicted numeric ratings follow from mapping qualitative intensities to the 0–100 scale, using piperonal and benzyl/benzyl-ester examples in the dataset as anchors.",55.0,48.0,62.0,22.0,2.0,1.0,20.0,18.0,8.0,4.0,10.0,45.0,8.0,2.0,2.0,5.0,18.0,5.0,60.0,18.0,58.0,70.0,58.0
Diethyl malate,"Analogy (with reasoning steps):

Diethyl malonate (A) is to its observed scent profile (B) as Diethyl malate (C) is to the predicted scent profile (D).

1) Identify A→B: Diethyl malonate (A) is a symmetric diethyl ester of malonate. Its measured scent profile is a mildly strong, quite pleasant, familiar ester (B) with low ‘‘off’’ notes (low fish, ammonia, decayed) and moderate strength and pleasantness (references: diethyl malonate in the dataset: low fish ~6.5, low ammonia ~4.7, strength ~44, pleasant ~67). This places it among neutral/pleasant food-like esters.

2) Structural difference C vs A: Diethyl malate (C) is closely related to diethyl malonate structurally but has a key functional-group difference: an additional hydroxyl-bearing carbon (it is the diethyl ester of malic acid, i.e. a 2-hydroxy-dicarboxylate diester). That –OH adjacent to the ester centers tends to increase polarity and can (a) enhance ‘‘fruit/sweet’’ and ‘‘sour/acidic’’ impressions in esters (many hydroxy-esters in the dataset are rated higher on fruit/sweet and somewhat on acid/sour than corresponding simple esters), and (b) slightly soften heavy ‘‘chemical’’ or sulfuric off-notes while keeping overall pleasantness.

3) Map the chemical change to perceptual shifts (B→D): therefore, using A’s profile as baseline, predict these systematic adjustments for D (diethyl malate):
   - Keep the low malodour axes (fish, ammonia, decayed) near A’s low values because no sulfur or amine groups are introduced.
   - Increase fruitiness and sweetness relative to diethyl malonate because the extra hydroxyl often gives a fresher, fruitier impression (compare hydroxy esters such as ethyl-3-hydroxybutyrate and other hydroxy/carboxylate esters in the dataset).
   - Raise ‘‘sour/acid’’ and ‘‘acid’’ perception moderately because malate is derived from an acidic, tart motif even though the molecule is esterified (esters can still carry perceived acidity/tartness from structure).
   - Leave strength in the same moderate range (esters of this size are not extremely potent) and keep pleasantness high, slightly tempered by a touch more acid/tart character.
   - Minor increases in ‘‘cold’’ or ‘‘grass/flower’’ are possible but modest; keep woody/musky/more animalic attributes low.

4) Quantitative prediction: start from diethyl malonate baseline and apply the above directional shifts to produce the predicted numeric profile for Diethyl malate (D).

Summary (A:B :: C:D): Diethyl malonate : (mild, pleasant diethyl ester with low off-notes, moderate strength, moderate familiarity) :: Diethyl malate : (similar pleasant diethyl-ester character but a touch fruitier/sweeter and modestly more sour/acidic, with low off-notes and comparable familiarity).
",55.0,28.0,45.0,60.0,7.0,3.0,20.0,18.0,35.0,10.0,30.0,24.0,12.0,8.0,5.0,18.0,10.0,15.0,22.0,30.0,40.0,65.0,52.0
Acetanisole,"Analogy used to derive predictions:

I use a structural-analogy approach: replace a hydrogen on a benzene ring with a para-methoxy group and observe how odor attributes shift, then transfer that shift from a parent ketone to its para-methoxy analogue. Concretely: benzaldehyde (no methoxy) -> p-anisaldehyde (para-methoxy benzaldehyde) is my template A:B; acetophenone (phenyl methyl ketone) -> acetanisole (para-methoxy acetophenone, the query) is C:D. The chemical change (H -> para-OCH3) tends to: increase sweet/vanilla/anise-like impressions, increase edible/bakery character, increase warm/tending-sweet facets and aromatic/floral nuances, while lowering green/harsh notes and not increasing animal/foul notes. 

Stepwise reasoning:
1) Choose A:B where measured data show that introducing a para-methoxy or anisyl motif generally enhances sweet/edible/bakery/vanilla qualities (many anisole/anisyl derivatives in the dataset are judged sweeter/more bakery-like and remain pleasant). The benzaldehyde -> p-anisaldehyde pair exemplifies this transformation: the para-OCH3 shifts the aromatic aldehyde toward sweeter/anisic/warmer impressions and slightly increases pleasantness.
2) Apply analogous effect to the acetophenone -> acetanisole transformation. Acetophenone (the parent ketone) already has a mildly sweet, floral, slightly fruity/green aromatic character and moderate pleasantness in the dataset. Adding a para-methoxy (to give acetanisole) is expected to: raise edible/bakery/sweet ratings, increase warm and floral nuances, keep fish/garlic/decayed/ammonia/strong off-notes low, and moderately increase familiarity and overall pleasantness. Intensity (strength) is expected to be moderate (not extremely high) — many anisole/anisyl derivatives are of moderate strength compared with small volatile ketones.
3) I combine these qualitative shifts with magnitudes observed for related para-methoxy substitutions in the dataset (e.g., anisole, p-anisaldehyde, anisyl acetate, 3,4-dimethoxyacetophenone) to produce numeric predictions. I bias toward values typical of para-methoxy aromatic ketones: clearly sweet/bakery/edible, low on animalic/foul, moderate warmth and floral character, moderate strength and good pleasantness/familiarity.

Thus: predicted D (acetanisole) properties follow from A->B changes applied to acetophenone (C), producing the numeric estimates below.",65.0,62.0,60.0,12.0,2.0,1.0,10.0,24.0,8.0,6.0,9.0,40.0,10.0,5.0,5.0,8.0,18.0,12.0,28.0,30.0,45.0,67.0,52.0
"4,5-Dihydro-3(2H)-thiophenone","Analogy: Cyclopentanone (A) is to its odor profile (B) as 4,5-dihydro-3(2H)-thiophenone (C) is to its predicted odor profile (D).

Reasoning steps: 
1) Structural analogy: Cyclopentanone (a saturated five‑membered ring ketone) provides a baseline for a ring‑ketone odor (clean, moderate intensity, somewhat sweet/ketonic notes). Replacing one ring carbon with sulfur (making a dihydro‑thiophenone) preserves the five‑membered ring and ketone functionality but introduces a heteroatom (S) that commonly shifts odor character toward sulfurous, savory/meaty, roasted and slightly burnt notes and often increases the perception of ""chemical""/sulfur facets. Thus the target will resemble cyclopentanone in warm/ketonic backbone but will acquire sulfur-associated attributes.
2) Empirical analogy with known thiophenes and thioketones: 2‑Acetylthiophene and other substituted thiophenes in the dataset show elevated ""fish/roasted/sulfur"" and ""chemical/burnt"" descriptors compared with simple ketones, while still retaining some pleasant, savory/roasted character. For example, 3‑acetyl‑2,5‑dimethylthiophene and 2‑acetylthiophene have moderate-to-high ""fish/chemical/burnt"" scores and moderate pleasantness. Thiophene itself shows modest fish/chemical scores compared with saturated ketones. This suggests the dihydro‑thiophenone will sit between cyclopentanone and acetylated thiophenes: more sulfurous/roasted than cyclopentanone, but not as extremely volatile or pungent as small thiols.
3) Attribute mapping: therefore attributes such as ""fish"", ""garlic"", ""burnt"", ""chemical"", ""decayed"" and overall intensity/strength should be elevated relative to typical cycloalkanones; attributes like ""flower"", ""fruit"", ""bakery"", ""sweet"" should be low. ""Warm"" (ketone warmth/roasted) and moderate ""spices"" are expected. ""Pleasant"" likely moderate-to-low because sulfurous notes tend to reduce hedonic ratings for many panelists, though some find roasted/savory notes agreeable.
4) Quantitative positioning: numbers are placed on a 0–100 scale by centering on typical cyclopentanone-like values for neutral ketone attributes and shifting upward for sulfurous and chemical descriptors using the observed ranges of related thiophenes in the dataset.

Prediction summary (C is to D): 4,5‑dihydro‑3(2H)‑thiophenone will smell like a moderately intense, warm/ketonic ring note with noticeable sulfurous/meaty/roasted facets, some burnt/chemical edge, low fruity/floral/sweet/bakery characters, and a modestly low pleasantness and familiarity.",15.0,5.0,8.0,5.0,35.0,40.0,30.0,22.0,12.0,30.0,12.0,34.0,20.0,25.0,22.0,28.0,20.0,10.0,8.0,50.0,55.0,35.0,30.0
4-Ethoxybenzaldehyde,"Analogy (used to derive the numbers):
Anisole (methoxybenzene) is to p‑anisaldehyde (para‑methoxybenzaldehyde) as ethoxybenzene (ethoxy analogue of anisole) is to 4‑ethoxybenzaldehyde. 
Reasoning steps: 
1) From the dataset anisole (a methoxy‑substituted benzene) is aromatic, somewhat sweet/anisic and fairly pleasant; p‑anisaldehyde (the same aromatic ring but with an added para‑aldehyde) is noticeably more ""bready/sweet/pleasant"" and somewhat stronger — introducing the aldehyde adds warm, bakery/almond/anisic character and raises pleasantness and perceived strength. 
2) Replacing the methoxy (–OCH3) by an ethoxy (–OCH2CH3) typically gives a very similar odor quality but slightly reduced volatility, a touch more oily/warm/vanilla‑like character, and a modest decrease in immediate headspace intensity. Thus the ethoxy analogue will qualitatively resemble the methoxy analogue but be a bit less sharp and slightly warmer. 
3) Combine these two transformations: take the p‑anisaldehyde profile as the primary template (high bakery/sweet/pleasant, moderate strength, low off‑notes) then (a) shift a little toward lower volatility/intensity (slightly lower ""strength""), (b) slightly increase warm/vanilla/creamy impressions, and (c) keep low values for sulfurous/garlic/fishy notes. Small increases in ""woody/warm"" and modest reductions in perceived familiarity/intensity reflect the ethoxy substitution. 
4) Numerical values are estimated by using p‑anisaldehyde / anisole / benzaldehyde / related anisic/aldehydic entries as anchors and applying the small adjustments above to generate the predicted 0–100 ratings for 4‑ethoxybenzaldehyde.

Predictions (4‑Ethoxybenzaldehyde):
- edible: aromatic anisic aldehydes are used in flavoring; moderately edible impression expected → 58.0
- bakery: strong bakery/almond/vanilla character from para‑aldehyde → 65.0
- sweet: clear sweet/anisic impression but slightly less candy‑sweet than smaller methoxy analogue → 60.0
- fruit: not fruity (aromatic almond/anise dominates) → 20.0
- fish: very low (no sulfuric/fishy features) → 10.0
- garlic: negligible (no thiols) → 5.0
- spices: mild‑moderate (warm, slightly spicy aromatic) → 35.0
- cold: mild cool/volatile top‑note comparable to anisic aldehydes but slightly reduced → 24.0
- sour: low → 10.0
- burnt: low (not pyrolytic) → 8.0
- acid: low (perceived acidity not prominent) → 10.0
- warm: moderate‑high (ethoxy adds a warmer, slightly creamier tone) → 50.0
- musky: low → 8.0
- sweaty: very low → 5.0
- ammonia: mild/low (aromatic aldehydes sometimes register small solventy/ammonia facets in datasets) → 28.0
- decayed: slight aged/oxidized aldehydic impression possible but not dominant → 25.0
- wood: mild woody/vanilla‑adjacent nuance → 22.0
- grass: low → 12.0
- flower: moderate (sweet floral/anisic facet) → 40.0
- chemical: modest (aromatic aldehyde/solventy facet) → 18.0
- strength: moderately strong but a bit less intense than p‑anisaldehyde due to larger ethoxy group → 55.0
- pleasant: fairly pleasant (sweet, bakery, familiar aromatic) → 62.0
- familiar: moderately familiar (resembles known anisic/benzaldehyde family) → 50.0",58.0,65.0,60.0,20.0,10.0,5.0,35.0,24.0,10.0,8.0,10.0,50.0,8.0,5.0,28.0,25.0,22.0,12.0,40.0,18.0,55.0,62.0,50.0
ethylbenzene,"Analogy and reasoning steps:

Benzene (simple aromatic hydrocarbon) is to its measured odor profile (low pleasantness, solvent/chemical character, modest strength) as ethylbenzene (benzene with an ethyl substituent) is to a similar profile shifted by the predictable effect of alkyl substitution on an aromatic hydrocarbon. Stepwise mapping used to make the prediction: 
1) Base reference: use the benzene entry in the dataset (low 'pleasant', appreciable 'chemical', modest 'strength', low food/fruit/bakery metrics) as the anchor for unsubstituted aromatic hydrocarbon odor. 
2) Known structural effect: adding an alkyl group (methyl → toluene, ethyl → ethylbenzene) typically increases hydrocarbon/solvent character, often increases perceived odor strength and a slightly sweeter/aromatic note while remaining predominantly chemical/solvent-like rather than fruity/edible. 
3) Empirical adjustment: compared to benzene, ethylbenzene is expected to be somewhat stronger, more 'chemical', slightly sweeter/aromatic but still not pleasant in a food sense; edible/bakery/fruit/garlic/spices remain near zero. Warm/wood/flower/grass remain low-to-moderate (small aromatic warmth), ammonia/sweaty/musky/decayed remain low. Familiar should be moderate (common industrial/solvent odor). 
4) Quantitative mapping: start from benzene numeric tendencies in dataset and shift them according to the above (increase strength and chemical ratings strongly; increase sweet a little; leave food-related descriptors near zero; keep ammonia/decay low). 

Using that analogy and stepwise adjustment yields the following predicted perceptual ratings for ethylbenzene.",5.0,2.0,20.0,3.0,10.0,2.0,5.0,14.0,5.0,8.0,4.0,12.0,5.0,5.0,20.0,7.0,12.0,6.0,8.0,88.0,45.0,25.0,55.0
