molecule,edible,bakery,sweet,fruit,fish,garlic,spices,cold,sour,burnt,acid,warm,musky,sweaty,ammonia,decayed,wood,grass,flower,chemical,strength,pleasant,familiar
2-Phenylethyl isothiocyanate,35.0,3.0,2.0,3.0,20.0,38.0,65.0,18.0,8.0,12.0,8.0,28.0,6.0,10.0,20.0,28.0,8.0,6.0,4.0,75.0,72.0,18.0,42.0
1-Octen-3-yl acetate,58.0,12.0,45.0,62.0,8.0,2.0,5.0,30.0,10.0,4.0,12.0,28.0,6.0,6.0,12.0,18.0,8.0,42.0,20.0,18.0,54.0,58.0,48.0
"3-Acetyl-2,5-dimethylthiophene",55.0,45.0,15.0,8.0,30.0,28.0,45.0,20.0,10.0,42.0,18.0,48.0,12.0,14.0,22.0,24.0,18.0,8.0,6.0,30.0,52.0,46.0,40.0
Androstadienone,2.0,1.0,5.0,2.0,1.0,1.0,5.0,10.0,5.0,8.0,5.0,40.0,75.0,55.0,8.0,25.0,30.0,5.0,15.0,40.0,75.0,45.0,30.0
Piperonyl isobutyrate,45.0,35.0,60.0,30.0,2.0,1.0,20.0,20.0,10.0,5.0,12.0,40.0,5.0,2.0,10.0,5.0,20.0,10.0,55.0,10.0,48.0,64.0,56.0
Diethyl malate,45.0,20.0,55.0,65.0,6.5,3.0,10.0,18.0,30.0,5.0,30.0,30.0,6.0,4.0,4.7,12.0,5.0,15.0,25.0,15.0,44.0,67.0,55.0
Acetanisole,65.0,60.0,65.0,15.0,1.0,1.0,12.0,20.0,8.0,5.0,10.0,40.0,10.0,1.0,3.0,4.0,18.0,10.0,35.0,30.0,40.0,72.0,60.0
"4,5-Dihydro-3(2H)-thiophenone",10.0,5.0,8.0,6.0,30.0,50.0,25.0,15.0,5.0,10.0,8.0,22.0,12.0,32.0,28.0,40.0,12.0,8.0,6.0,55.0,62.0,28.0,38.0
4-Ethoxybenzaldehyde,58.0,68.0,65.0,18.0,2.0,2.0,18.0,24.0,8.0,4.0,10.0,38.0,8.0,4.0,25.0,20.0,18.0,12.0,42.0,30.0,56.0,63.0,50.0
ethylbenzene,2.0,1.0,12.0,2.0,3.0,1.0,4.0,15.0,3.0,8.0,2.0,22.0,6.0,2.0,5.0,4.0,8.0,4.0,3.0,72.0,58.0,30.0,55.0
benzyl alcohol,20.0,10.0,30.0,5.0,1.0,1.0,8.0,18.0,5.0,2.0,8.0,40.0,8.0,2.0,5.0,3.0,18.0,5.0,65.0,20.0,50.0,65.0,62.0
benzaldehyde,75.0,60.0,60.0,55.0,1.0,1.0,22.0,25.0,5.0,5.0,5.0,45.0,5.0,1.0,1.0,2.0,10.0,5.0,30.0,35.0,65.0,72.0,75.0
anisole,40.0,15.0,50.0,8.0,1.0,1.0,35.0,24.0,6.0,4.0,6.0,28.0,5.0,3.0,22.0,18.0,10.0,8.0,36.0,30.0,50.0,60.0,52.0
Methyl phenylacetate,62.0,28.0,65.0,42.0,2.0,1.0,18.0,28.0,10.0,5.0,10.0,38.0,5.0,3.0,10.0,12.0,12.0,15.0,72.0,20.0,45.0,66.0,54.0
Diphenyl ether,10.0,8.0,35.0,5.0,3.0,1.0,8.0,20.0,4.0,5.0,5.0,30.0,35.0,2.0,2.0,4.0,18.0,3.0,40.0,45.0,52.0,55.0,42.0
"1,3-Diphenyl-2-propanone",18.0,22.0,44.0,8.0,2.0,1.0,12.0,28.0,6.0,7.0,7.0,36.0,22.0,4.0,3.0,4.0,26.0,9.0,46.0,34.0,25.0,60.0,48.0
Isobutyl phenylacetate,50.0,30.0,55.0,60.0,5.0,2.0,20.0,28.0,12.0,5.0,16.0,35.0,10.0,4.0,5.0,8.0,20.0,10.0,65.0,15.0,50.0,60.0,50.0
Benzyl phenylacetate,30.0,20.0,55.0,25.0,2.0,1.0,15.0,25.0,8.0,3.0,12.0,40.0,20.0,3.0,10.0,15.0,25.0,10.0,65.0,15.0,35.0,55.0,50.0
Phenethyl phenylacetate,45.0,40.0,60.0,30.0,3.0,1.0,10.0,20.0,10.0,5.0,8.0,30.0,10.0,2.0,1.0,5.0,25.0,10.0,75.0,20.0,45.0,65.0,55.0
Triacetin,85.0,45.0,50.0,35.0,2.0,1.0,10.0,12.0,8.0,3.0,8.0,18.0,4.0,2.0,1.0,3.0,5.0,6.0,8.0,35.0,22.0,55.0,60.0
dimethyl benzene propanol,40.0,30.0,45.0,20.0,5.0,3.0,25.0,25.0,5.0,5.0,10.0,45.0,20.0,5.0,5.0,10.0,35.0,10.0,40.0,30.0,40.0,60.0,45.0
2-ethylhexyl acetate,45.0,15.0,40.0,65.0,4.0,2.0,10.0,25.0,8.0,2.0,5.0,30.0,5.0,3.0,10.0,8.0,8.0,12.0,20.0,18.0,55.0,62.0,50.0
ethyl cinnamate,58.0,45.0,66.0,40.0,1.0,1.0,56.0,10.0,5.0,4.0,8.0,62.0,8.0,2.0,1.0,1.0,28.0,10.0,46.0,18.0,56.0,64.0,52.0
Phenethyl acetate,55.0,28.0,72.0,45.0,1.0,1.0,8.0,18.0,5.0,1.5,8.0,32.0,6.0,1.0,1.0,1.0,10.0,12.0,88.0,12.0,48.0,78.0,62.0
Benzyl ether,10.0,5.0,45.0,10.0,2.0,1.0,8.0,20.0,5.0,3.0,5.0,30.0,15.0,2.0,2.0,3.0,25.0,5.0,55.0,25.0,40.0,55.0,45.0
2-Phenoxyethyl isobutyrate,50.0,20.0,55.0,60.0,2.0,1.0,8.0,20.0,8.0,3.0,12.0,35.0,10.0,2.0,1.0,3.0,18.0,8.0,50.0,12.0,28.0,62.0,40.0
Anisyl acetate,65.0,45.0,70.0,55.0,2.0,1.0,20.0,20.0,5.0,3.0,10.0,45.0,5.0,2.0,5.0,5.0,20.0,15.0,60.0,15.0,55.0,62.0,60.0
cinnamyl alcohol,48.0,38.0,58.0,15.0,16.333333333333332,5.0,52.0,18.0,8.0,4.0,12.0,48.0,8.0,6.0,22.9375,21.21052631578948,30.0,16.0,62.0,18.0,68.22680412371135,45.22680412371134,53.11340206185567
Cinnamyl alcohol,50.0,55.0,60.0,25.0,16.333333333333332,2.0,65.0,18.0,8.0,5.0,10.0,55.0,6.0,8.0,22.9375,21.21052631578948,28.0,8.0,42.0,18.0,68.22680412371135,45.22680412371134,53.11340206185567
2-ethyl-1-hexanol,12.0,8.0,28.0,20.0,6.0,2.0,8.0,30.0,5.0,4.0,10.0,32.0,12.0,8.0,24.0,18.0,18.0,35.0,42.0,38.0,55.0,50.0,46.0
4-Methylanisole,45.0,30.0,50.0,12.0,23.0,8.0,20.0,28.0,8.0,15.0,12.0,42.0,30.0,18.0,28.0,20.0,28.0,15.0,45.0,35.0,61.0,52.0,48.0
3-Decen-2-one,28.0,12.0,32.0,38.0,3.0,2.0,10.0,34.0,8.0,7.0,10.0,36.0,12.0,5.0,15.0,22.0,14.0,30.0,20.0,38.0,52.0,50.0,46.0
5-Phenyl-1-pentanol,30.0,15.0,35.0,10.0,1.0,1.0,20.0,32.0,10.0,5.0,10.0,30.0,10.0,5.0,28.0,12.0,25.0,12.0,35.0,20.0,45.0,50.0,45.0
ethyl propionate,60.0,35.0,68.0,82.0,3.0,1.0,8.0,20.0,15.0,3.0,18.0,40.0,5.0,2.0,5.0,4.0,8.0,12.0,25.0,18.0,55.0,68.0,60.0
Diethyl malonate,55.0,20.0,50.0,60.0,2.0,1.0,10.0,30.0,12.0,5.0,15.0,25.0,5.0,2.0,5.0,6.0,5.0,10.0,15.0,25.0,45.0,58.0,42.0
ethyl butyrate,78.0,35.0,78.0,90.0,4.0,1.0,10.0,18.0,10.0,2.0,12.0,30.0,5.0,2.0,1.0,2.0,8.0,12.0,20.0,25.0,62.0,80.0,75.0
Acetal,30.0,25.0,55.0,50.0,5.0,2.0,10.0,25.0,8.0,3.0,6.0,30.0,8.0,3.0,2.0,4.0,8.0,10.0,18.0,60.0,40.0,60.0,50.0
epsilon-Caprolactam,5.0,2.0,3.0,1.0,1.0,1.0,5.0,10.0,5.0,2.0,8.0,10.0,12.0,5.0,30.0,20.0,5.0,4.0,2.0,65.0,40.0,30.0,45.0
propyl butyrate,60.0,25.0,55.0,75.0,10.0,2.0,10.0,18.0,20.0,5.0,20.0,30.0,5.0,3.0,18.0,22.0,5.0,10.0,20.0,15.0,60.0,62.0,55.0
geranyl acetate,50.0,10.0,50.0,60.0,1.0,1.0,10.0,20.0,10.0,5.0,10.0,35.0,5.0,2.0,12.0,18.0,20.0,40.0,75.0,10.0,50.0,68.0,52.0
"3-Acetyl-2,5-dimethylfuran",58.0,65.0,60.0,12.0,15.0,2.0,18.0,14.0,8.0,28.0,7.0,42.0,4.0,3.0,2.0,6.0,9.0,6.0,10.0,22.0,54.0,50.0,43.0
Omega-Pentadecalactone,60.0,35.0,65.0,40.0,5.0,1.0,10.0,18.0,5.0,2.0,6.0,50.0,70.0,2.0,5.0,5.0,30.0,5.0,20.0,10.0,60.0,75.0,55.0
"3,7-Dimethyl-1-octanol",35.0,12.0,30.0,20.0,8.0,5.0,12.0,30.0,20.0,10.0,18.0,40.0,18.0,15.0,28.0,17.0,28.0,30.0,35.0,20.0,55.0,50.0,46.0
geraniol,45.0,12.0,58.0,50.0,20.0,3.0,18.0,30.0,8.0,4.0,6.0,36.0,6.0,7.0,28.0,26.0,28.0,45.0,78.0,18.0,54.0,60.0,54.0
Nerol,32.0,18.0,52.0,45.0,2.0,1.0,12.0,20.0,15.0,4.0,18.0,38.0,5.0,2.5,1.0,8.0,22.0,34.0,78.0,16.0,59.0,70.0,56.0
Isoamyl butyrate,80.0,25.0,75.0,85.0,5.0,1.0,10.0,28.0,12.0,5.0,10.0,30.0,5.0,2.0,1.0,3.0,5.0,8.0,20.0,15.0,50.0,75.0,60.0
Ethyl heptanoate,70.0,25.0,60.0,78.0,8.0,2.0,15.0,24.0,12.0,3.0,14.0,30.0,5.0,2.0,8.0,18.0,8.0,12.0,10.0,6.0,58.0,72.0,60.0
Ethyl octanoate,68.0,35.0,62.0,80.0,6.0,2.0,12.0,22.0,18.0,4.0,18.0,28.0,8.0,3.0,3.0,6.0,14.0,18.0,25.0,20.0,50.0,72.0,58.0
Propyl propionate,58.0,18.0,62.0,72.0,4.0,1.0,9.0,16.0,18.0,4.0,10.0,20.0,3.0,2.0,4.0,7.0,6.0,8.0,14.0,9.0,48.0,66.0,54.0
p-cresol,8.0,4.0,3.0,2.0,10.0,5.0,12.0,8.0,6.0,55.0,10.0,35.0,7.0,55.0,45.0,72.0,45.0,7.0,5.0,75.0,82.0,18.0,52.0
dimethyl succinate,60.0,22.0,58.0,65.0,1.0,1.0,10.0,40.0,15.0,5.0,15.0,30.0,5.0,5.0,18.4,15.1,10.0,20.0,25.0,30.0,62.0,59.0,50.0
3-octanone,36.0,18.0,32.0,28.0,15.0,8.0,14.0,24.0,12.0,9.0,16.0,29.0,14.0,11.0,18.0,20.0,22.0,26.0,21.0,33.0,49.0,51.0,46.0
methyl caproate,62.0,30.0,68.0,82.0,4.0,1.0,6.0,8.0,14.0,2.0,12.0,30.0,3.0,2.0,1.0,5.0,6.0,10.0,18.0,20.0,50.0,65.0,55.0
Methyl heptanoate,58.0,22.0,60.0,70.0,15.0,2.0,14.0,22.0,10.0,3.0,22.0,28.0,5.0,3.0,24.0,12.0,9.0,14.0,18.0,30.0,52.0,60.0,52.0
1-Methyl-3-methoxy-4-isopropylbenzene,45.0,35.0,50.0,20.0,5.0,5.0,30.0,20.0,5.0,5.0,5.0,45.0,10.0,5.0,5.0,5.0,30.0,10.0,25.0,15.0,55.0,60.0,50.0
Isoamylamine,5.0,1.0,2.0,3.0,65.0,3.0,8.0,28.0,18.0,10.0,15.0,22.0,12.0,55.0,75.0,50.0,5.0,8.0,2.0,68.0,68.0,18.0,30.0
butyric acid,5.0,2.0,1.0,1.0,60.0,5.0,10.0,25.0,70.0,10.0,80.0,20.0,10.0,75.0,25.0,80.0,5.0,5.0,1.0,65.0,85.0,10.0,60.0
beta-Alanine,45.0,8.0,10.0,8.0,20.0,6.0,8.0,31.0,25.0,4.0,30.0,18.0,12.0,12.0,38.0,20.0,5.0,9.0,7.0,28.0,38.0,55.0,45.0
isopropyl acetate,60.0,20.0,65.0,80.0,2.0,2.0,10.0,25.0,15.0,1.0,10.0,20.0,5.0,2.0,5.0,3.0,5.0,10.0,20.0,35.0,45.0,70.0,65.0
Isopropenyl acetate,55.0,30.0,45.0,40.0,15.0,10.0,15.0,35.0,20.0,10.0,20.0,35.0,5.0,8.0,18.0,18.0,5.0,25.0,20.0,40.0,35.0,48.0,46.0
gamma-valerolactone,60.0,45.0,50.0,45.0,3.0,1.0,8.0,18.0,10.0,4.0,12.0,32.0,5.0,2.0,3.0,5.0,10.0,8.0,6.0,18.0,40.0,55.0,45.0
"2,6-Dimethylpyridine",2.0,3.0,2.0,2.0,18.0,5.0,10.0,50.0,8.0,10.0,8.0,15.0,8.0,12.0,45.0,22.0,8.0,6.0,3.0,65.0,55.0,25.0,30.0
Cyclohexanone,20.0,10.0,22.0,8.0,10.0,5.0,15.0,24.0,10.0,8.0,12.0,30.0,12.0,14.0,26.0,20.0,14.0,8.0,7.0,58.0,60.0,40.0,46.0
Benzenethiol,5.0,2.0,3.0,2.0,35.0,40.0,15.0,15.0,5.0,10.0,5.0,20.0,10.0,45.0,30.0,45.0,5.0,3.0,2.0,75.0,85.0,12.0,45.0
Octyl isobutyrate,55.0,15.0,50.0,65.0,15.0,2.0,10.0,22.0,10.0,5.0,15.0,25.0,15.0,3.0,20.0,10.0,10.0,10.0,25.0,15.0,30.0,50.0,38.0
isobutyl acetate,65.0,30.0,60.0,78.0,4.0,1.0,8.0,30.0,8.0,3.0,10.0,28.0,3.0,4.0,18.0,12.0,5.0,8.0,20.0,22.0,50.0,62.0,55.0
butyl butyrate,72.0,18.0,68.0,82.0,3.0,1.0,6.0,16.0,8.0,3.0,9.0,22.0,2.0,1.0,4.0,6.0,5.0,9.0,18.0,15.0,55.0,78.0,70.0
Butyl 10-undecenoate,50.0,20.0,45.0,50.0,3.0,1.0,10.0,18.0,8.0,2.0,10.0,30.0,12.0,4.0,2.0,5.0,12.0,18.0,20.0,12.0,42.0,52.0,40.0
valeric acid,20.0,5.0,8.0,5.0,28.0,5.0,10.0,15.0,65.0,5.0,80.0,30.0,10.0,75.0,30.0,36.0,5.0,10.0,5.0,40.0,78.0,17.0,50.0
propyl acetate,52.0,28.0,48.0,70.0,2.0,1.0,8.0,32.0,18.0,3.0,22.0,18.0,2.0,2.0,6.0,2.0,1.0,7.0,25.0,45.0,50.0,62.0,58.0
Butylamine,5.0,2.0,5.0,3.0,50.0,5.0,8.0,10.0,10.0,5.0,8.0,20.0,5.0,48.0,68.0,45.0,5.0,8.0,2.0,72.0,72.0,15.0,35.0
Ethyl formate,75.0,12.0,70.0,85.0,12.0,1.0,5.0,30.0,15.0,2.0,20.0,20.0,1.0,1.0,25.0,8.0,2.0,10.0,18.0,35.0,55.0,70.0,55.0
Thiophene,2.0,1.0,2.0,1.0,5.0,5.0,8.0,15.0,3.0,8.0,3.0,20.0,5.0,8.0,8.0,12.0,8.0,5.0,2.0,60.0,45.0,35.0,30.0
Succinic acid,40.0,5.0,8.0,5.0,20.0,5.0,8.0,30.0,65.0,5.0,70.0,20.0,5.0,20.0,22.0,25.0,5.0,5.0,3.0,35.0,35.0,30.0,45.0
Fumaric acid,20.0,5.0,2.0,5.0,5.0,2.0,3.0,18.0,12.0,2.0,15.0,5.0,3.0,5.0,10.0,8.0,5.0,8.0,3.0,25.0,12.0,25.0,30.0
Isopropyl myristate,30.0,8.0,6.0,4.0,8.0,1.0,5.0,25.0,4.0,3.0,10.0,28.0,30.0,3.0,12.0,12.0,18.0,6.0,8.0,10.0,18.0,38.0,36.0
Ethyl decanoate,70.0,30.0,60.0,75.0,5.0,2.0,10.0,18.0,12.0,6.0,15.0,28.0,5.0,3.0,2.0,5.0,12.0,18.0,25.0,10.0,48.0,64.0,52.0
Diethyl sebacate,22.5,12.0,24.0,18.0,1.0,1.0,6.0,24.0,12.0,3.0,10.0,22.0,18.0,3.0,1.0,4.0,14.0,6.0,9.0,16.0,20.0,38.0,42.0
2-heptanone,45.0,20.0,30.0,40.0,5.0,5.0,15.0,28.0,15.0,10.0,15.0,35.0,5.0,10.0,25.0,18.0,12.0,18.0,12.0,40.0,53.0,50.0,50.0
valeraldehyde,22.0,18.0,20.0,15.0,20.0,5.0,12.0,23.0,20.0,8.0,18.0,30.0,5.0,10.0,23.0,30.0,12.0,28.0,6.0,45.0,66.0,26.0,48.0
Diethyl disulfide,10.0,2.0,3.0,2.0,33.0,80.0,25.0,20.0,10.0,15.0,8.0,20.0,5.0,25.0,25.0,30.0,8.0,4.0,2.0,68.0,72.0,28.0,45.0
Cyclohexane,2.0,1.0,8.0,1.0,1.0,1.0,2.0,25.0,1.0,3.0,1.0,8.0,5.0,1.0,4.0,12.0,8.0,3.0,1.0,65.0,45.0,40.0,55.0
pyridine,5.0,3.0,2.0,2.0,30.0,4.0,8.0,20.0,10.0,8.0,8.0,12.0,5.0,10.0,45.0,35.0,8.0,5.0,3.0,78.0,75.0,18.0,50.0
Piperidine,5.0,1.0,1.0,1.0,55.0,5.0,10.0,25.0,5.0,5.0,10.0,10.0,20.0,30.0,70.0,60.0,5.0,5.0,2.0,65.0,80.0,10.0,35.0
6-Methyl-5-hepten-2-one,35.0,5.0,15.0,65.0,2.0,2.0,8.0,22.0,8.0,3.0,10.0,28.0,12.0,6.0,8.0,5.0,18.0,30.0,25.0,30.0,50.0,55.0,45.0
Methyl caprylate,55.0,10.0,50.0,72.0,5.0,1.0,5.0,15.0,10.0,2.0,10.0,22.0,4.0,2.0,1.0,5.0,12.0,18.0,24.0,8.0,48.0,60.0,50.0
2-octanone,45.0,30.0,40.0,35.0,3.0,8.0,18.0,33.0,15.0,18.0,20.0,38.0,18.0,12.0,16.0,22.0,18.0,20.0,28.0,35.0,52.0,53.0,48.0
Heptanoic Acid,15.0,5.0,5.0,2.0,18.0,5.0,8.0,30.0,58.0,5.0,72.0,30.0,20.0,62.0,30.0,42.0,10.0,10.0,5.0,25.0,68.0,18.0,48.0
hexanol,40.0,12.0,18.0,12.0,8.0,2.0,8.0,30.0,8.0,5.0,8.0,36.0,5.0,10.0,28.0,18.0,18.0,35.0,18.0,22.0,55.0,48.0,50.0
propyl sulfide,15.0,5.0,5.0,5.0,26.0,55.0,20.0,28.0,20.0,20.0,18.0,30.0,15.0,30.0,28.0,35.0,5.0,8.0,5.0,60.0,55.0,28.0,40.0
Ethyl stearate,40.0,12.0,18.0,8.0,2.0,1.5,8.0,32.0,4.0,3.0,6.0,18.0,28.0,2.0,2.0,24.0,18.0,10.0,12.0,18.0,30.0,42.0,38.0
Octane,2.0,1.0,2.0,1.0,1.0,0.0,2.0,30.0,1.0,5.0,1.0,15.0,5.0,3.0,5.0,5.0,5.0,3.0,1.0,50.0,35.0,30.0,45.0
1-Octene,3.0,1.0,4.0,2.0,1.0,1.0,2.0,24.0,5.0,22.0,4.0,28.0,12.0,6.0,21.0,31.0,15.0,8.0,2.0,45.0,48.0,50.0,42.0
heptanol,40.0,8.0,28.0,12.0,7.0,1.0,12.0,27.0,12.0,5.0,12.0,40.0,10.0,8.0,25.0,28.0,30.0,42.0,18.0,30.0,50.0,52.0,50.0
Hexyl octanoate,55.0,30.0,60.0,70.0,5.0,1.0,10.0,15.0,10.0,5.0,12.0,35.0,10.0,5.0,2.0,8.0,12.0,10.0,25.0,8.0,50.0,60.0,45.0
Methyl trans-2-nonenoate,52.0,18.0,52.0,56.0,6.0,2.0,12.0,32.0,18.0,4.0,20.0,40.0,15.0,6.0,14.0,19.0,18.0,45.0,22.0,18.0,50.0,58.0,49.0
Methyl 2-nonynoate,62.0,28.0,58.0,66.0,6.0,2.0,12.0,27.0,12.0,5.0,18.0,32.0,8.0,6.0,12.0,16.0,14.0,22.0,18.0,20.0,42.0,56.0,48.0
octanol,28.0,8.0,18.0,10.0,6.0,4.0,9.0,26.0,6.0,4.0,12.0,38.0,20.0,18.0,25.0,30.0,28.0,22.0,30.0,32.0,52.0,50.0,48.0
undecane,8.0,3.0,2.0,1.0,1.0,1.0,4.0,22.0,2.0,20.0,2.0,28.0,34.0,8.0,20.0,30.0,18.0,8.0,3.0,50.0,45.0,48.0,42.0
heptyl acetate,65.0,35.0,60.0,70.0,6.0,3.0,10.0,31.0,8.0,5.0,12.0,25.0,6.0,4.0,24.0,22.0,12.0,18.0,30.0,10.0,52.0,58.0,50.0
